0.090451 buffer_diff L5 64
0.090451 buffer_diff L3 -64
0.090451 buffer_diff L3 64
0.090451 buffer_diff L0 64
0.090451 buffer_diff L5 64
0.090492 transmission L0 64
0.090492 transmission L5 64
0.090492 buffer_diff L0 -64
0.090492 buffer_diff L5 -64
0.090502 transmission L2 64
0.090502 transmission L1 64
0.090502 transmission L4 64
0.090502 transmission L3 64
0.090532 transmission L0 64
0.090532 transmission L5 64
0.100502 buffer_diff L4 -64
0.100502 buffer_diff L4 64
0.100502 buffer_diff L3 -64
0.100502 buffer_diff L3 64
0.100502 buffer_diff L2 -64
0.100502 buffer_diff L2 64
0.100502 buffer_diff L1 -64
0.100502 buffer_diff L1 64
0.100553 transmission L4 64
0.100553 transmission L3 64
0.100553 transmission L2 64
0.100553 transmission L1 64
0.110553 buffer_diff L5 -64
0.110553 buffer_diff L5 64
0.110553 buffer_diff L3 -64
0.110553 buffer_diff L3 64
0.110553 buffer_diff L4 -64
0.110553 buffer_diff L4 64
0.110553 buffer_diff L0 -64
0.110553 buffer_diff L0 64
0.110553 buffer_diff L1 -64
0.110553 buffer_diff L1 64
0.110553 buffer_diff L2 -64
0.110553 buffer_diff L2 64
0.110553 buffer_diff L5 64
0.110553 buffer_diff L0 64
0.110594 transmission L5 64
0.110594 transmission L0 64
0.110594 buffer_diff L5 -64
0.110594 buffer_diff L0 -64
0.110604 transmission L3 64
0.110604 transmission L4 64
0.110604 transmission L1 64
0.110604 transmission L2 64
0.110635 transmission L5 64
0.110635 transmission L0 64
0.120604 buffer_diff L1 -64
0.120604 buffer_diff L1 64
0.120604 buffer_diff L2 -64
0.120604 buffer_diff L2 64
0.120604 buffer_diff L3 -64
0.120604 buffer_diff L3 64
0.120604 buffer_diff L4 -64
0.120604 buffer_diff L4 64
0.120655 transmission L1 64
0.120655 transmission L2 64
0.120655 transmission L3 64
0.120655 transmission L4 64
0.130655 buffer_diff L2 -64
0.130655 buffer_diff L2 64
0.130655 buffer_diff L0 -64
0.130655 buffer_diff L0 64
0.130655 buffer_diff L1 -64
0.130655 buffer_diff L1 64
0.130655 buffer_diff L4 -64
0.130655 buffer_diff L4 64
0.130655 buffer_diff L5 -64
0.130655 buffer_diff L5 64
0.130655 buffer_diff L3 -64
0.130655 buffer_diff L3 64
0.130655 buffer_diff L0 64
0.130655 buffer_diff L5 64
0.130696 transmission L0 64
0.130696 transmission L5 64
0.130696 buffer_diff L0 -64
0.130696 buffer_diff L5 -64
0.130707 transmission L2 64
0.130707 transmission L1 64
0.130707 transmission L4 64
0.130707 transmission L3 64
0.130737 transmission L0 64
0.130737 transmission L5 64
0.140707 buffer_diff L4 -64
0.140707 buffer_diff L4 64
0.140707 buffer_diff L3 -64
0.140707 buffer_diff L3 64
0.140707 buffer_diff L2 -64
0.140707 buffer_diff L2 64
0.140707 buffer_diff L1 -64
0.140707 buffer_diff L1 64
0.140758 transmission L4 64
0.140758 transmission L3 64
0.140758 transmission L2 64
0.140758 transmission L1 64
0.150758 buffer_diff L5 -64
0.150758 buffer_diff L5 64
0.150758 buffer_diff L3 -64
0.150758 buffer_diff L3 64
0.150758 buffer_diff L4 -64
0.150758 buffer_diff L4 64
0.150758 buffer_diff L0 -64
0.150758 buffer_diff L0 64
0.150758 buffer_diff L1 -64
0.150758 buffer_diff L1 64
0.150758 buffer_diff L2 -64
0.150758 buffer_diff L2 64
0.150758 buffer_diff L5 64
0.150758 buffer_diff L0 64
0.150799 transmission L5 64
0.150799 transmission L0 64
0.150799 buffer_diff L5 -64
0.150799 buffer_diff L0 -64
0.150809 transmission L3 64
0.150809 transmission L4 64
0.150809 transmission L1 64
0.150809 transmission L2 64
0.150840 transmission L5 64
0.150840 transmission L0 64
0.160809 buffer_diff L1 -64
0.160809 buffer_diff L1 64
0.160809 buffer_diff L2 -64
0.160809 buffer_diff L2 64
0.160809 buffer_diff L3 -64
0.160809 buffer_diff L3 64
0.160809 buffer_diff L4 -64
0.160809 buffer_diff L4 64
0.160860 transmission L1 64
0.160860 transmission L2 64
0.160860 transmission L3 64
0.160860 transmission L4 64
0.170860 buffer_diff L2 -64
0.170860 buffer_diff L2 64
0.170860 buffer_diff L0 -64
0.170860 buffer_diff L0 64
0.170860 buffer_diff L1 -64
0.170860 buffer_diff L1 64
0.170860 buffer_diff L4 -64
0.170860 buffer_diff L4 64
0.170860 buffer_diff L5 -64
0.170860 buffer_diff L5 64
0.170860 buffer_diff L3 -64
0.170860 buffer_diff L3 64
0.170860 buffer_diff L0 64
0.170860 buffer_diff L5 64
0.170901 transmission L0 64
0.170901 transmission L5 64
0.170901 buffer_diff L0 -64
0.170901 buffer_diff L5 -64
0.170911 transmission L2 64
0.170911 transmission L1 64
0.170911 transmission L4 64
0.170911 transmission L3 64
0.170942 transmission L0 64
0.170942 transmission L5 64
0.180911 buffer_diff L4 -64
0.180911 buffer_diff L4 64
0.180911 buffer_diff L3 -64
0.180911 buffer_diff L3 64
0.180911 buffer_diff L2 -64
0.180911 buffer_diff L2 64
0.180911 buffer_diff L1 -64
0.180911 buffer_diff L1 64
0.180963 transmission L4 64
0.180963 transmission L3 64
0.180963 transmission L2 64
0.180963 transmission L1 64
0.190963 buffer_diff L5 -64
0.190963 buffer_diff L5 64
0.190963 buffer_diff L3 -64
0.190963 buffer_diff L3 64
0.190963 buffer_diff L4 -64
0.190963 buffer_diff L4 64
0.190963 buffer_diff L0 -64
0.190963 buffer_diff L0 64
0.190963 buffer_diff L1 -64
0.190963 buffer_diff L1 64
0.190963 buffer_diff L2 -64
0.190963 buffer_diff L2 64
0.190963 buffer_diff L5 64
0.190963 buffer_diff L0 64
0.191004 transmission L5 64
0.191004 transmission L0 64
0.191004 buffer_diff L5 -64
0.191004 buffer_diff L0 -64
0.191014 transmission L3 64
0.191014 transmission L4 64
0.191014 transmission L1 64
0.191014 transmission L2 64
0.191044 transmission L5 64
0.191044 transmission L0 64
0.201014 buffer_diff L1 -64
0.201014 buffer_diff L1 64
0.201014 buffer_diff L2 -64
0.201014 buffer_diff L2 64
0.201014 buffer_diff L3 -64
0.201014 buffer_diff L3 64
0.201014 buffer_diff L4 -64
0.201014 buffer_diff L4 64
0.201065 transmission L1 64
0.201065 transmission L2 64
0.201065 transmission L3 64
0.201065 transmission L4 64
0.211065 buffer_diff L2 -64
0.211065 buffer_diff L2 64
0.211065 buffer_diff L0 -64
0.211065 buffer_diff L0 64
0.211065 buffer_diff L1 -64
0.211065 buffer_diff L1 64
0.211065 buffer_diff L4 -64
0.211065 buffer_diff L4 64
0.211065 buffer_diff L5 -64
0.211065 buffer_diff L5 64
0.211065 buffer_diff L3 -64
0.211065 buffer_diff L3 64
0.211065 buffer_diff L0 64
0.211065 buffer_diff L5 64
0.211106 transmission L0 64
0.211106 transmission L5 64
0.211106 buffer_diff L0 -64
0.211106 buffer_diff L5 -64
0.211116 transmission L2 64
0.211116 transmission L1 64
0.211116 transmission L4 64
0.211116 transmission L3 64
0.211147 transmission L0 64
0.211147 transmission L5 64
0.221116 buffer_diff L4 -64
0.221116 buffer_diff L4 64
0.221116 buffer_diff L3 -64
0.221116 buffer_diff L3 64
0.221116 buffer_diff L2 -64
0.221116 buffer_diff L2 64
0.221116 buffer_diff L1 -64
0.221116 buffer_diff L1 64
0.221167 transmission L4 64
0.221167 transmission L3 64
0.221167 transmission L2 64
0.221167 transmission L1 64
